57,2009-12-01,300029,"216,228.25",109.67,0.12,"16,702.49",18.12,"30,911.51",33.56,"102,232.23",110.96,"32,915.81",35.72,"33,356.55",36.21
58,2009-12-01,300029,"160,531.04",274.43,0.30,"16,829.46",18.26,"34,721.82",37.69,"108,705.33",117.99,0.00,0.00,0.00,0.00
59,2009-12-01,300030,"90,553.96",18.60,0.05,"6,805.71",16.69,"7,966.63",19.54,"46,760.61",114.68,"12,716.88",31.18,"16,285.54",39.93
60,2009-12-01,300030,"74,181.05",40.87,0.11,"7,639.31",18.74,"10,132.87",24.85,"56,368.00",138.24,0.00,0.00,0.00,0.00
61,2009-12-01,300031,"124,233.52",17.73,0.03,583.93,1.09,"11,938.89",22.38,"54,078.48",101.36,"25,337.62",47.50,"32,276.87",60.50
62,2009-12-01,300031,"93,510.79",27.72,0.05,"1,090.47",2.05,"12,412.57",23.26,"79,980.03",149.91,0.00,0.00,0.00,0.00
63,2009-12-01,300032,"181,727.15",67.07,0.09,"12,259.50",16.27,"24,372.84",32.33,"82,991.13",110.10,"29,478.56",39.11,"32,558.05",43.20
64,2009-12-01,300032,"128,800.54",170.25,0.22,"12,139.43",16.10,"25,075.62",33.27,"91,415.25",121.27,0.00,0.00,0.00,0.00
65,2009-12-01,300033,"110,340.48",15.38,0.02,699.40,1.12,"14,706.68",23.59,"51,371.52",82.38,"19,794.03",31.74,"23,753.46",38.09
66,2009-12-01,300033,"143,402.12",19.93,0.03,"1,548.23",2.48,"19,789.12",31.73,"119,806.54",192.13,"2,238.29",3.59,0.00,0.00
67,2009-12-01,300034,"103,076.25",44.78,0.08,"6,322.81",12.06,"9,769.20",18.64,"46,449.67",88.61,"15,546.16",29.65,"24,943.63",47.58
68,2009-12-01,300034,"106,668.19",112.06,0.22,"9,764.31",18.62,"18,808.41",35.88,"77,983.41",148.77,0.00,0.00,0.00,0.00
69,2009-12-01,300035,"89,551.17",14.29,0.04,"7,951.48",17.80,"8,953.05",20.04,"43,544.47",97.47,"13,887.78",31.09,"15,200.10",34.02
