519,002073,1200000,2016-02-27
520,002074,1340000,2016-02-27
521,002075,1190000,2016-02-27
522,002076,2110000,2016-02-27
523,002077,675000,2016-02-27
524,002078,1340000,2016-02-27
525,002079,714000,2016-02-27
526,002080,1260000,2016-02-27
527,002081,3750000,2016-02-27
528,002082,521000,2016-02-27
529,002083,641000,2016-02-27
530,002084,965000,2016-02-27
531,002085,845000,2016-02-27
532,002086,1960000,2016-02-27
533,002087,579000,2016-02-27
534,002088,84300,2016-02-27
535,002089,995000,2016-02-27
536,002090,841000,2016-02-27
537,002091,1850000,2016-02-27
538,002092,1270000,2016-02-27
539,002093,788000,2016-02-27
540,002094,884000,2016-02-27
541,002095,4900000,2016-02-27
542,002096,523000,2016-02-27
543,002097,3170000,2016-02-27
544,002098,691000,2016-02-27
545,002099,1250000,2016-02-27
546,002100,673000,2016-02-27
547,002101,642000,2016-02-27
548,002102,551000,2016-02-27
549,002103,893000,2016-02-27
550,002104,1240000,2016-02-27
551,002105,668000,2016-02-27
552,002106,997000,2016-02-27
553,002107,791000,2016-02-27
554,002108,1860000,2016-02-27
555,002109,464000,2016-02-27
556,002110,817000,2016-02-27
557,002111,1190000,2016-02-27
558,002112,1530000,2016-02-27
559,002113,350000,2016-02-27
560,002114,1850000,2016-02-27
561,002115,984000,2016-02-27
562,002116,604000,2016-02-27
563,002117,896000,2016-02-27
564,002118,989000,2016-02-27
565,002119,899000,2016-02-27
566,002120,1100000,2016-02-27
567,002121,1710000,2016-02-27
568,002122,725000,2016-02-27
569,002123,1030000,2016-02-27
570,002124,770000,2016-02-27
571,002125,804000,2016-02-27
572,002126,658000,2016-02-27
573,002127,1950000,2016-02-27
574,002128,1430000,2016-02-27
575,002129,971000,2016-02-27
576,002130,1280000,2016-02-27
577,002131,1340000,2016-02-27
578,002132,1200000,2016-02-27
579,002133,841000,2016-02-27
580,002134,418000,2016-02-27
581,002135,808000,2016-02-27
582,002136,830000,2016-02-27
583,002137,232000,2016-02-27
584,002138,884000,2016-02-27
585,002139,701000,2016-02-27
586,002140,940000,2016-02-27
587,002141,527000,2016-02-27
588,002142,11200000,2016-02-27
589,002143,627000,2016-02-27
590,002144,460000,2016-02-27
591,002145,725000,2016-02-27
592,002146,1860000,2016-02-27
593,002147,835000,2016-02-27
594,002148,1020000,2016-02-27
595,002149,755000,2016-02-27
596,002150,203000,2016-02-27
597,002151,1300000,2016-02-27
598,002152,1200000,2016-02-27
599,002153,1110000,2016-02-27
600,002154,4910000,2016-02-27
601,002155,1200000,2016-02-27
602,002156,900000,2016-02-27
603,002157,1460000,2016-02-27
604,002158,819000,2016-02-27
605,002159,896000,2016-02-27
606,002160,532000,2016-02-27
607,002161,2490000,2016-02-27
608,002162,203000,2016-02-27
609,002163,1180000,2016-02-27
610,002164,510000,2016-02-27
611,002165,734000,2016-02-27
612,002166,935000,2016-02-27
613,002167,1020000,2016-02-27
614,002168,830000,2016-02-27
615,002169,1100000,2016-02-27
616,002170,1510000,2016-02-27
617,002171,348000,2016-02-27
618,002172,1340000,2016-02-27
619,002173,640000,2016-02-27
620,002174,2520000,2016-02-27
621,002175,2770000,2016-02-27
622,002176,1370000,2016-02-27
623,002177,1170000,2016-02-27
624,002178,1090000,2016-02-27
625,002179,1420000,2016-02-27
626,002180,413000,2016-02-27
627,002181,2000000,2016-02-27
628,002182,677000,2016-02-27
629,002183,3010000,2016-02-27
630,002184,802000,2016-02-27
631,002185,1310000,2016-02-27
632,002186,7780000,2016-02-27
633,002187,708000,2016-02-27
634,002188,406000,2016-02-27
635,002189,937000,2016-02-27
636,002190,1580000,2016-02-27
637,002191,1090000,2016-02-27
638,002193,1180000,2016-02-27
639,002194,872000,2016-02-27
640,002195,11600000,2016-02-27
641,002196,700000,2016-02-27
642,002197,1830000,2016-02-27
643,002198,530000,2016-02-27
644,002199,716000,2016-02-27
645,002200,376000,2016-02-27
646,002201,491000,2016-02-27
647,002202,1810000,2016-02-27
648,002203,919000,2016-02-27
649,002204,1080000,2016-02-27
650,002205,973000,2016-02-27
651,002206,711000,2016-02-27
652,002207,753000,2016-02-27
653,002208,906000,2016-02-27
654,002209,640000,2016-02-27
655,002210,740000,2016-02-27
656,002211,779000,2016-02-27
657,002212,690000,2016-02-27
658,002213,527000,2016-02-27
659,002214,787000,2016-02-27
660,002215,1280000,2016-02-27
661,002216,1510000,2016-02-27
662,002217,484000,2016-02-27
663,002218,674000,2016-02-27
664,002219,889000,2016-02-27
665,002220,462000,2016-02-27
666,002221,892000,2016-02-27
667,002222,744000,2016-02-27
668,002223,1930000,2016-02-27
669,002224,1460000,2016-02-27
670,002225,591000,2016-02-27
671,002226,1160000,2016-02-27
672,002227,1210000,2016-02-27
673,002228,955000,2016-02-27
674,002229,1270000,2016-02-27
675,002230,3630000,2016-02-27
676,002231,667000,2016-02-27
677,002232,1000000,2016-02-27
678,002233,733000,2016-02-27
679,002234,729000,2016-02-27
680,002235,971000,2016-02-27
681,002236,1760000,2016-02-27
682,002237,788000,2016-02-27
683,002238,941000,2016-02-27
684,002239,491000,2016-02-27
685,002240,1270000,2016-02-27
686,002241,1530000,2016-02-27
687,002242,1550000,2016-02-27
688,002243,660000,2016-02-27
689,002244,1170000,2016-02-27
690,002245,942000,2016-02-27
691,002246,897000,2016-02-27
692,002247,526000,2016-02-27
693,002248,773000,2016-02-27
694,002249,1300000,2016-02-27
695,002250,1800000,2016-02-27
696,002251,35300000,2016-02-27
697,002252,1240000,2016-02-27
698,002253,1320000,2016-02-27
699,002254,484000,2016-02-27
700,002255,1290000,2016-02-27
701,002256,967000,2016-02-27
702,002258,599000,2016-02-27
703,002259,1040000,2016-02-27
704,002260,314000,2016-02-27
705,002261,1680000,2016-02-27
706,002262,1280000,2016-02-27
707,002263,2410000,2016-02-27
708,002264,3730000,2016-02-27
709,002265,412000,2016-02-27
710,002266,645000,2016-02-27
711,002267,599000,2016-02-27
712,002268,2610000,2016-02-27
713,002269,1790000,2016-02-27
714,002270,785000,2016-02-27
715,002271,2690000,2016-02-27
716,002272,541000,2016-02-27
717,002273,2070000,2016-02-27
718,002274,812000,2016-02-27
719,002275,1570000,2016-02-27
720,002276,1540000,2016-02-27
721,002277,867000,2016-02-27
722,002278,777000,2016-02-27
723,002279,1190000,2016-02-27
724,002280,822000,2016-02-27
725,002281,1050000,2016-02-27
726,002282,1050000,2016-02-27
727,002283,858000,2016-02-27
728,002284,1950000,2016-02-27
729,002285,2220000,2016-02-27
730,002286,941000,2016-02-27
731,002287,901000,2016-02-27
732,002288,1220000,2016-02-27
733,002289,755000,2016-02-27
734,002290,594000,2016-02-27
735,002291,78700000,2016-02-27
736,002292,2270000,2016-02-27
737,002293,118000,2016-02-27
738,002294,1210000,2016-02-27
739,002295,431000,2016-02-27
740,002296,1460000,2016-02-27
741,002297,666000,2016-02-27
742,002298,651000,2016-02-27
743,002299,1180000,2016-02-27
744,002300,900000,2016-02-27
745,002301,460000,2016-02-27
746,002302,1550000,2016-02-27
747,002303,830000,2016-02-27
748,002304,1790000,2016-02-27
749,002305,774000,2016-02-27
750,002307,1060000,2016-02-27
751,002308,1150000,2016-02-27
